Nombre,Email,Pais,Ciudad,Fecha_cumpleaños
Albano Llopis Hierro,maitecalatayud@bonet.com,Colombia,Cali,1975-05-13
María Cristina Amor,cgimenez@lobo.es,Colombia,Medellín,1970-02-10
Rico Navarro,pintocleto@nunez-lamas.com,Colombia,Bucaramanga,1968-01-10
Ani Marcos Pardo,arroyogisela@mancebo.net,Colombia,Medellín,1978-06-13
Mercedes Patiño Cánovas,hugo41@hotmail.com,Colombia,Bogotá,1976-03-10
Jerónimo Pino Lerma,pia03@moles.org,Colombia,Medellín,1998-02-16
Cloe Valera Priego,juan-manuelchaparro@gmail.com,Colombia,Barranquilla,1999-04-24
Viviana Pujol Paredes,araceliuriarte@arevalo.com,Colombia,Cali,2005-11-02
María Bartolomé Plaza,qangel@hotmail.com,Colombia,Medellín,1967-04-30
Pili del Nieto,trinidad27@lago.com,Colombia,Barranquilla,1979-11-03
María Fernanda Flor,maria-belen28@abascal.com,Colombia,Cali,1980-06-16
Ambrosio de Bermúdez,wbayon@casas.com,Colombia,Bucaramanga,2000-10-22
Cloe Font Mesa,urbano87@gmail.com,Colombia,Bucaramanga,1963-11-21
Ainara Grau Giménez,barraljenaro@angulo.com,Colombia,Cali,2005-01-20
Clotilde Catalán Suárez,mramirez@caballero.es,Colombia,Bucaramanga,1987-07-05
Teresa Balaguer Cabello,znicolau@ibarra.net,Colombia,Bucaramanga,1988-03-28
Emilio Sevillano Iborra,dcabanas@alcolea.com,Colombia,Cali,1992-04-15
Toni Quero,reynaldoabril@lara-sanz.org,Colombia,Bucaramanga,1997-05-08
Calixta Falcó Martin,barreramariana@barcelo-ayllon.es,Colombia,Bogotá,1994-02-02
Teodoro Estevez Bayona,sanchocarretero@hoz.es,Colombia,Bogotá,1973-06-06
Dafne Lara Priego,zacarias51@sedano.com,Colombia,Medellín,1974-01-13
Dulce Cazorla,hidalgorafael@yahoo.com,Colombia,Medellín,1996-06-30
Mariano Sancho Ángel Aguiló,canizaresjuan-luis@gmail.com,Colombia,Cali,1997-03-06
Elías Luján Galvez,jacintalaguna@hotmail.com,Colombia,Bogotá,1962-12-27
Maximiliano Roda Lloret,mugicamaria-manuela@juarez.es,Colombia,Medellín,1960-03-10
Anselmo Company Araujo,titocastell@gmail.com,Colombia,Barranquilla,1962-03-31
Clementina Iborra Calderon,pcortes@gmail.com,Colombia,Cali,1961-03-21
