id_cliente,nombre,email,pais,ciudad,fecha_cumpleaños
1,Albano Llopis Hierro,maitecalatayud@bonet.com,Colombia,Cali,13/5/1975
2,María Cristina Amor,cgimenez@lobo.es,Colombia,Medellín,10/2/1970
3,Rico Navarro,pintocleto@nunez-lamas.com,Colombia,Bucaramanga,10/1/1968
4,Ani Marcos Pardo,arroyogisela@mancebo.net,Colombia,Medellín,13/6/1978
5,Mercedes Patiño Cánovas,hugo41@hotmail.com,Colombia,Bogotá,10/3/1976
6,Jerónimo Pino Lerma,pia03@moles.org,Colombia,Medellín,16/2/1998
7,Cloe Valera Priego,juan-manuelchaparro@gmail.com,Colombia,Barranquilla,24/4/1999
8,Viviana Pujol Paredes,araceliuriarte@arevalo.com,Colombia,Cali,2/11/2005
9,María Bartolomé Plaza,qangel@hotmail.com,Colombia,Medellín,30/4/1967
10,Pili del Nieto,trinidad27@lago.com,Colombia,Barranquilla,3/11/1979
11,María Fernanda Flor,maria-belen28@abascal.com,Colombia,Cali,16/6/1980
12,Ambrosio de Bermúdez,wbayon@casas.com,Colombia,Bucaramanga,22/10/2000
13,Cloe Font Mesa,urbano87@gmail.com,Colombia,Bucaramanga,21/11/1963
14,Ainara Grau Giménez,barraljenaro@angulo.com,Colombia,Cali,20/1/2005
15,Clotilde Catalán Suárez,mramirez@caballero.es,Colombia,Bucaramanga,5/7/1987
16,Teresa Balaguer Cabello,znicolau@ibarra.net,Colombia,Bucaramanga,28/3/1988
17,Emilio Sevillano Iborra,dcabanas@alcolea.com,Colombia,Cali,15/4/1992
18,Toni Quero,reynaldoabril@lara-sanz.org,Colombia,Bucaramanga,8/5/1997
19,Calixta Falcó Martin,barreramariana@barcelo-ayllon.es,Colombia,Bogotá,2/2/1994
20,Teodoro Estevez Bayona,sanchocarretero@hoz.es,Colombia,Bogotá,6/6/1973
21,Dafne Lara Priego,zacarias51@sedano.com,Colombia,Medellín,13/1/1974
22,Dulce Cazorla,hidalgorafael@yahoo.com,Colombia,Medellín,30/6/1996
23,Mariano Sancho Ángel Aguiló,canizaresjuan-luis@gmail.com,Colombia,Cali,6/3/1997
24,Elías Luján Galvez,jacintalaguna@hotmail.com,Colombia,Bogotá,27/12/1962
25,Maximiliano Roda Lloret,mugicamaria-manuela@juarez.es,Colombia,Medellín,10/3/1960
26,Anselmo Company Araujo,titocastell@gmail.com,Colombia,Barranquilla,31/3/1962
27,Clementina Iborra Calderon,pcortes@gmail.com,Colombia,Cali,21/3/1961
28,Rafa Márquez Requena,feliciano16@sosa.net,Colombia,Barranquilla,19/4/1980
29,Dani de Ferrando,leon14@yahoo.com,Colombia,Barranquilla,8/1/1996
30,Albina Carlos Julián,antonio19@ojeda-mir.es,Colombia,Barranquilla,8/10/1998
31,Edu Arregui,vizcainoangela@hotmail.com,Colombia,Barranquilla,17/11/1988
32,Nazaret Murillo Mir,anunciacion46@quevedo-marques.com,Colombia,Bucaramanga,11/10/2004
33,Nicolasa Dávila Mascaró,mateuluciano@gmail.com,Colombia,Bucaramanga,31/12/1998
34,Morena Estrella Sola Sala,ariadnasaenz@hotmail.com,Colombia,Bogotá,20/4/1965
35,José Ángel Natanael Naranjo Bueno,jafet32@arteaga.es,Colombia,Cali,25/9/1987
36,Charo Plana-Urrutia,eusebioadan@gmail.com,Colombia,Medellín,2/7/1971
37,Jordana Ayllón,sastreeliseo@molins-salas.es,Colombia,Bogotá,1/11/1991
38,Dora Huertas Lluch,leonardosabater@gmail.com,Colombia,Bucaramanga,8/1/1978
39,Esther Berrocal Chacón,rodolfocorominas@gargallo.es,Colombia,Medellín,28/3/1991
40,Ana Gabaldón Rivera,pintoralbina@gmail.com,Colombia,Barranquilla,26/1/1986
41,Lupita Giménez Torrents,tristan70@navarrete-quiroga.com,Colombia,Medellín,16/11/2001
42,Alba del Amores,dcerda@ayllon.es,Colombia,Bogotá,22/6/1990
43,Evangelina Pinilla Lobo,perlita17@gmail.com,Colombia,Medellín,16/10/1974
44,Rosario Arjona Anguita,primitivaalmagro@corominas.es,Colombia,Cali,13/5/1974
45,Odalis Jaén Peinado,cespedesmaria@amigo.es,Colombia,Bucaramanga,10/1/1973
46,Manu Herrero Cal,armengolovidio@hotmail.com,Colombia,Cali,30/9/1984
47,José Luis Nogueira Alberola,bcamacho@yahoo.com,Colombia,Bogotá,10/12/1969
